u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
267671967,601681523,太原路,residential,1,93.349, , , , , , , ,2176,401,145
267671967,601675124,汾阳路,residential,0,172.305,1, , , , , , ,2177,171,146
267698847,856908984,枫林路,residential,1,89.116, , , , , , , ,2183,393,147
267698847,856909006,医学院路,residential,0,249.399, , , , , , , ,2185,34,148
321982054,856908349,三角东街,residential,0,275.924, , , , , , , ,2289,31,149
321982054,601716803,零陵路,tertiary,0,218.388, , , , , , , ,2290,276,150
321982054,107674834,零陵路,tertiary,0,254.864, , , , , , , ,2291,254,151
376594431,3805834237,南丹东路,secondary,0,113.171, , , , , , , ,2363,469,152
376594431,640464962,漕溪北路,primary,1,252.055,5, , , , , , ,2364,881,153
423833592,601712550,徐家汇路,primary,1,76.42,4, , , , , , ,2563,814,154
423833592,601712418,丽园路,unclassified,1,194.658, , , , , , , ,2564,141,155
423833606,1882272209,徐家汇路,primary,1,163.362,4, , , ,60, , ,2567,1510,156
477597199,62917024,成都南路,residential,0,154.185, , , , , , , ,4245,113,157
477597199,554236879,淮海中路,secondary,0,248.303,2, , , , , , ,4246,427,158
477597199,2412392616,淮海中路,secondary,0,189.093,2, , , , , , ,4247,492,159
477598679,4225698901,长乐路,tertiary,1,39.809, , , , , , , ,4248,84,160
477598679,62917024,长乐路,tertiary,0,237.125, , , , , , , ,4249,180,161
477598679,4988370715,长乐路,tertiary,0,73.899, , , , , , , ,4250,69,162
479307526,479307593,巨鹿路,residential,0,418.585, , , , , , , ,4518,60,163
479307526,483133364,巨鹿路,residential,0,271.063, , , , , , , ,4519,91,164
479307593,62917024,成都南路,residential,0,154.733, , , , , , , ,4521,90,165
479307593,4988370708,巨鹿路,residential,0,201.333, , , , , , , ,4523,64,166
479307593,479307526,巨鹿路,residential,0,418.585, , , , , , , ,4524,350,167
483119185,486179370,重庆南路,primary,1,384.04300000000006, , , , , , , ,4930,429,168
483119728,109425825,瑞金二路,secondary,1,144.51499999999996,2, , , , , , ,4931,809,169
483119728,483119801,南昌路,residential,1,213.131, , , , , , , ,4932,150,170
483119801,601681404,思南路,residential,1,119.435,1, , , , , , ,4933,144,171
483119801,483124613,南昌路,residential,1,351.499, , , , , , , ,4934,140,172
483122241,4988384174,兴安路,residential,1,135.689,1, , , , , , ,4942,8,173
483122241,483124613,雁荡路,living_street,0,176.81899999999996, , , , , , , ,4943,13,174
483122241,2412392616,雁荡路,living_street,0,52.174, , , , , , , ,4944,20,175
483124613,483122241,雁荡路,living_street,0,176.81899999999996, , , , , , , ,4947,20,176
483124613,483119185,南昌路,residential,1,184.99, , , , , , , ,4948,111,177
483125845,483119728,南昌路,residential,1,294.207, , , , , , , ,4950,128,178
483125845,483133333,茂名南路,residential,0,173.341, , , , , , , ,4951,119,179
